City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,zagora,-5.5555,-150.6117,25.85,76,37,5.44,,1730386800
293,waingapu,84.3657,-20.9379,-8.87,96,100,6.05,,1730386800
294,san matias,74.6843,89.7474,-12.12,97,99,2.72,,1730386800
295,serowe,-55.2144,4.2276,-0.69,98,100,9.2,,1730386800
296,opuwo,-50.883,144.729,3.92,79,30,18.33,,1730386800
297,naze,36.7442,-8.2844,19.71,82,100,7.69,PT,1730386800
298,dhidhdhoo,-65.4933,95.3424,-6.52,87,100,7.23,,1730386800
299,benguela,57.5969,-117.8181,-8.86,92,100,1.25,CA,1730386800
300,brookings,-16.8992,-57.6594,38.04,46,10,2.11,BR,1730386800
301,mount gambier,69.4886,159.9959,-9.45,93,100,8.21,RU,1730386800
302,machico,29.2139,62.7299,21.79,20,10,1.4,AF,1730386800
303,catumbela,-49.9649,-100.8773,5.34,59,61,11.46,,1730386800
304,luimneach,-63.5954,2.5422,-2.48,88,100,1.61,,1730386800
305,molepolole,84.6593,-1.1433,-8.47,95,97,7.56,,1730386800
306,churapcha,85.5814,-169.1624,-14.56,95,100,7.56,,1730386800
307,shchyolkino,-27.9538,137.5533,29.94,18,79,6.7,,1730386800
308,zuyevka,57.3821,-84.0944,1.51,77,100,14.36,,1730386800
309,astara,20.0896,144.4414,28.23,72,47,9.57,,1730386800
310,carnarvon,36.3509,-65.1548,20.37,66,50,5.04,,1730386800
311,ambon,-69.4506,38.3641,-8.99,66,95,1.74,,1730386800
312,cadale,81.3235,-1.7826,-5.36,95,100,6.11,,1730386800
313,chardara,87.4629,11.4847,-4.74,95,100,3.93,,1730386800
314,ak-suu,-76.923,17.4781,-33.72,88,24,5.29,,1730386800
315,marion,0.658,-150.8408,26.23,71,98,7.62,,1730386800
316,krasnyy oktyabr',64.593,-29.8483,2.61,44,16,13.27,,1730386800
317,pisco,70.0091,-145.0162,-11.79,90,36,6.1,US,1730386800
318,pingliang,-15.4694,-113.8332,23.81,69,92,7.68,,1730386800
319,bay harbor,70.5013,-67.6759,-0.99,92,100,11.34,CA,1730386800
320,stanley,-34.746,87.2269,12.44,60,19,8.98,,1730386800
321,taltal,44.855,-140.1961,12.65,84,91,10.62,,1730386800
322,al ghayzah,-43.2278,-159.4976,12.42,97,100,12.25,,1730386800
323,"ak""yar",75.5374,107.6214,-23.42,100,94,0.79,,1730386800
324,khash,-14.2758,-115.8375,23.99,75,87,7.88,,1730386800
325,axim,-6.1632,135.0292,28.6,76,76,1.55,,1730386800
326,coyhaique,-68.4937,161.1221,-7.01,82,100,19.54,,1730386800
327,holualoa,13.9425,-77.646,28.53,78,99,7.66,,1730386800
328,kingston,21.4157,127.942,28.46,86,99,10.39,,1730386800
329,sinop,6.279,-110.8612,25.96,67,85,5.59,,1730386800
330,dalhart,-8.043,-141.1169,25.57,76,52,3.27,,1730386800
331,baiyin,-53.1574,22.0715,1.33,98,100,12.48,,1730386800
332,dorado,-46.5898,-128.0566,9.0,84,100,16.74,,1730386800
333,guozhen,1.1568,-126.5077,23.75,81,99,6.72,,1730386800
334,strezhevoy,87.0833,-16.0909,-7.5,96,100,4.02,,1730386800
335,adam,82.9363,-59.2806,-9.95,93,100,10.05,,1730386800
336,cole harbour,78.4663,56.4342,0.73,93,83,6.45,,1730386800
337,la'ie,18.6554,153.8675,28.02,79,33,7.65,,1730386800
338,ponta delgada,37.5703,-11.4581,18.07,65,20,0.81,,1730386800
339,tobruk,-51.7537,-160.8709,7.74,83,85,6.65,,1730386800
340,mejit,-0.4582,-12.5121,25.66,81,46,6.11,,1730386800
341,darwin,34.9115,132.5009,10.56,88,100,1.82,JP,1730386800
342,los frentones,-81.1792,-26.7884,-20.12,82,47,4.56,,1730386800
343,daru,27.5845,-14.797,20.78,64,0,2.86,ES,1730386800
344,fauske,-70.2696,134.6699,-32.88,94,91,6.39,,1730386800
345,kyshtovka,57.2267,139.0027,-10.75,71,78,6.78,RU,1730386800
346,brisas de zicatela,85.3562,28.6134,-4.89,86,89,4.61,,1730386800
347,alofi,-4.9369,153.505,29.19,73,62,3.67,,1730386800
348,ronneby,5.465,124.7667,28.77,73,79,1.95,PH,1730386800
349,kananga,-80.6855,-173.6693,-23.52,91,95,2.21,,1730386800
350,st. john's,18.7171,-60.7347,26.37,79,100,9.8,,1730386800
351,kibale,-20.4186,164.4889,21.79,78,69,3.04,NC,1730386800
352,lobito,54.1615,66.3295,2.45,70,91,1.78,KZ,1730386800
353,suntar,27.7502,-134.9894,20.97,65,40,5.51,,1730386800
354,tianfu,5.6409,-34.399,27.4,75,51,2.62,,1730386800
355,tazovsky,35.3462,23.9736,7.69,61,39,5.79,GR,1730386800
356,kimbe,45.4591,-69.5349,17.43,87,84,2.63,US,1730386800
357,san andres,-63.6568,145.235,-7.29,94,100,10.1,,1730386800
358,felixstowe,-38.6121,33.5119,13.96,66,14,2.84,,1730386800
359,kerimaki,-57.6179,93.2326,-0.38,89,98,9.63,,1730386800
360,ha'il,27.2873,120.7867,23.91,96,100,13.49,CN,1730386800
361,westport,-0.9569,-90.1887,21.34,87,88,5.05,EC,1730386800
362,chui,61.7675,129.4205,-19.29,97,85,0.89,RU,1730386800
363,champerico,-2.0503,-168.6446,26.67,74,20,4.3,,1730386800
364,kiunga,-40.9038,-80.389,11.99,85,97,10.28,,1730386800
365,morrope,-0.8776,158.7282,28.78,67,99,1.85,,1730386800
366,al marj,-37.2815,117.9206,14.46,79,100,9.68,,1730386800
367,quellon,60.714,133.8277,-21.99,100,93,0.55,RU,1730386800
368,tete,2.5173,31.0346,26.26,64,100,0.95,UG,1730386800
369,narasannapeta,63.1044,-120.1315,-9.06,89,100,6.12,CA,1730386800
370,kapustin yar,9.9273,149.3218,28.95,73,81,5.26,FM,1730386800
371,penhalonga,70.983,-173.816,-1.72,72,100,12.08,,1730386800
372,burang,27.8027,-47.3795,22.58,55,88,8.76,,1730386800
